Ticker,AnnualRisk,ExpReturn
MO,0.331733287501,0.0668
MOLX,0.385512658152,0.158
MON,0.392341534862,0.0884
MOT,0.42212215171,0.1692
MRK,0.278206771649,0.0828
MRO,0.354390251213,0.1164
MS,0.511524726685,0.1284
MSFT,0.391815432547,0.1092
MTB,0.294671208742,0.094
MU,0.629001122392,0.1156
MUR,0.314269463681,0.1124
MWV,0.326851762643,0.1764
MWW,0.691476367618,0.2124
MYL,0.419067547874,0.0876
NBL,0.394975054751,0.0964
NBR,0.489709291224,0.1564
NDAQ,0.517464168932,0.0932
NEE,0.209918743046,0.0772
NEM,0.434345371303,0.0612
NI,0.243444548404,0.1012
NKE,0.358800493398,0.1076
NOC,0.293895070061,0.1228
NOV,0.561766859976,0.1516
NOVL,0.555255706983,0.1012
NRG,0.403777453528,0.0892
NSC,0.307877992809,0.1148
NSM,0.53898894589,0.1164
NTAP,0.716227086046,0.1484
NTRS,0.347202896321,0.0916
NU,0.23775052224,0.0716
NUE,0.381439301625,0.1012
NVDA,0.733319700948,0.154
NVLS,0.613826036582,0.134
NWL,0.338138379827,0.1732
NWSA,0.374614490967,0.158
NYT,0.348784154397,0.1548
NYX,0.576040798214,0.1564
ODP,0.569736014084,0.3132
OI,0.493519538361,0.198
OKE,0.420680055205,0.1132
OMC,0.300992156118,0.1276
ORCL,0.53085152307,0.1148
ORLY,0.382793726932,0.0652
OXY,0.315588533782,0.1068
PAYX,0.386656764513,0.098
PBCT,0.402639148093,0.0404
PBI,0.290482757217,0.1156
PCAR,0.37323617244,0.142
PCG,0.345377519191,0.0508
PCL,0.309563506856,0.1156
PCLN,0.844989506119,0.13
PCP,0.350356317504,0.1548
PCS,0.60585066749,0.082
PDCO,0.374368527244,0.0964
PEG,0.200348412094,0.0732
PEP,0.265326796968,0.074
PFE,0.293876233731,0.0828
PFG,0.571238358634,0.2772
PG,0.247182389251,0.0708
PGN,0.192845686093,0.0612
PGR,0.323700746485,0.1052
PH,0.32617159598,0.1452
PHM,0.4675166808,0.0988
PKI,0.447682955442,0.0996
PLD,0.527531495117,0.2596
PLL,0.328372923638,0.1188
PM,0.304621177208,0.098
PNC,0.374755721379,0.1332
PNW,0.290508507649,0.0772
POM,0.228272849606,0.0748
PPG,0.286213965193,0.1364
PPL,0.228929737614,0.066
PRU,0.54874829342,0.2316
PSA,0.0650996462062,0.102
PTV,0.356504497421,0.0996
PWR,0.688350439341,0.1124
PX,0.319090918114,0.1012
PXD,0.473035595922,0.1756
Q,0.669023637838,0.0948
QCOM,0.564611538535,0.1092
QEP,0.333343304184,0.11
QLGC,0.691483968387,0.142
R,0.339130275871,0.1484
RAI,0.314715010338,0.0852
RDC,0.503965901236,0.1604
RF,0.458180082894,0.1244
RHI,0.418914487228,0.118
RHT,0.696677997176,0.1388
RL,0.425470382541,0.1596
ROK,0.353821310989,0.1764
ROP,0.403268643867,0.0892
ROST,0.465753716594,0.0948
RRC,0.549909167972,0.0596
RRD,0.300292402345,0.1956
RSG,0.377642836011,0.1028
RSH,0.414487761143,0.1756
RTN,0.29994868533,0.0844
S,0.434178273615,0.118
SAI,0.262176681387,0.0444
SBUX,0.438353626745,0.138
SCG,0.182112802019,0.0812
SCHW,0.506408732489,0.1284
SE,0.352795606306,0.1052
SEE,0.367962934073,0.142
SHLD,0.49519724527,0.1636
SHW,0.303619099313,0.0828
SIAL,0.31774280525,0.1068
SJM,0.263747864154,0.0852
SLB,0.359709439913,0.1356
SLE,0.285780490759,0.0956
SLM,0.452272216409,0.1372
SNA,0.295991061106,0.1564
SNDK,0.791490352243,0.1844
SNI,0.419864092191,0.1244
SO,0.282164606819,0.0588
SPG,0.349413748952,0.162
SPLS,0.45901070902,0.1012
SRCL,0.436855531908,0.0444
SRE,0.280121969236,0.0732
STI,0.3917536215,0.1404
STJ,0.367864560463,0.078
STT,0.516540406026,0.138
STZ,0.485914822352,0.1108
SUN,0.338959647086,0.0692
SVU,0.323397356048,0.1172
SWK,0.314444640102,0.1348
SWN,0.442824936659,0.058
SWY,0.331600999524,0.0884
SYK,0.351565197437,0.102
SYMC,0.581971723554,0.1012
SYY,0.276957758966,0.0884
T,0.266458391893,0.0788
TAP,0.346193160339,0.0884
TDC,0.410502123965,0.1044
TE,0.242337658986,0.1004
TEG,0.198260690053,0.1068
TER,0.582849336768,0.1772
TGT,0.342412922169,0.11
THC,0.455655063566,0.2244
TIE,0.682642480143,0.1636
TIF,0.410848724999,0.1772
TJX,0.703267623443,0.082
TLAB,0.557085465111,0.0892
TMK,0.302972496796,0.1668
TMO,0.321588159839,0.0892
TROW,0.425006814513,0.1692
TRV,0.296042895822,0.078
TSN,0.370984869271,0.1284
TSO,0.518792075297,0.1252
TSS,0.333824587855,0.1036
TWC,0.536249761634,0.0876
TWX,0.527530597543,0.1308
TXN,0.436992302568,0.118
TXT,0.386263678386,0.2676
TYC,0.426706364309,0.1236
UNH,0.414574646438,0.1124
UNM,0.422037990415,0.1732
UNP,0.289562317357,0.1252
UPS,0.257297127305,0.1012
URBN,0.551152296869,0.1044
USB,0.0792108888876,0.114
UTX,0.280005697087,0.1148
V,0.445888704198,0.098
VAR,0.325925811254,0.0972
VFC,0.312256486834,0.1076
VIA-b,0.388840382921,0.1332
VLO,0.455627074087,0.1164
VMC,0.284856808537,0.1332
VNO,0.316174450941,0.1692
VRSN,0.734257621834,0.0948
VTR,0.474944961881,0.142
VZ,0.258099108392,0.078
WAG,0.292840888104,0.1124
WAT,0.439794671661,0.1132
WDC,0.670815695268,0.15
WEC,0.190160153018,0.0612
WFC,0.372655932732,0.146
WFMI,0.481231928672,0.1228
WFR,0.813576097479,0.1324
WHR,0.346769455783,0.1932
WIN,0.300981198244,0.106
WLP,0.343678786186,0.1172
WM,0.355693372379,0.0756
WMB,0.507048673188,0.1268
WMT,0.312375730233,0.0596
WPI,0.416872364308,0.0612
WPO,0.229379104237,0.1068
WU,0.419470736933,0.1476
WY,0.332314108937,0.1148
WYN,0.691525219381,0.3068
WYNN,0.551373561957,0.2364
X,0.46585433534,0.23
XEL,0.259690196085,0.066
XL,0.510435006791,0.2524
XLNX,0.570289473226,0.0996
XOM,0.244918452237,0.062
XRAY,0.304479089893,0.1148
XRX,0.39679921452,0.1668
YHOO,0.652760185395,0.0972
YUM,0.343533870023,0.1084
ZION,0.444979168595,0.1188
ZMH,0.306104081138,0.1132
